Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Enrolled in school:,Margin of Error; Enrolled in school:,"Estimate; Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Enrolled in school: - Enrolled in kindergarten,Margin of Error; Enrolled in school: - Enrolled in kindergarten,Estimate; Enrolled in school: - Enrolled in grade 1,Margin of Error; Enrolled in school: - Enrolled in grade 1,Estimate; Enrolled in school: - Enrolled in grade 2,Margin of Error; Enrolled in school: - Enrolled in grade 2,Estimate; Enrolled in school: - Enrolled in grade 3,Margin of Error; Enrolled in school: - Enrolled in grade 3,Estimate; Enrolled in school: - Enrolled in grade 4,Margin of Error; Enrolled in school: - Enrolled in grade 4,Estimate; Enrolled in school: - Enrolled in grade 5,Margin of Error; Enrolled in school: - Enrolled in grade 5,Estimate; Enrolled in school: - Enrolled in grade 6,Margin of Error; Enrolled in school: - Enrolled in grade 6,Estimate; Enrolled in school: - Enrolled in grade 7,Margin of Error; Enrolled in school: - Enrolled in grade 7,Estimate; Enrolled in school: - Enrolled in grade 8,Margin of Error; Enrolled in school: - Enrolled in grade 8,Estimate; Enrolled in school: - Enrolled in grade 9,Margin of Error; Enrolled in school: - Enrolled in grade 9,Estimate; Enrolled in school: - Enrolled in grade 10,Margin of Error; Enrolled in school: - Enrolled in grade 10,Estimate; Enrolled in school: - Enrolled in grade 11,Margin of Error; Enrolled in school: - Enrolled in grade 11,Estimate; Enrolled in school: - Enrolled in grade 12,Margin of Error; Enrolled in school: - Enrolled in grade 12,"Estimate; Enrolled in school: - Enrolled in college, undergraduate years","Margin of Error; Enrolled in school: - Enrolled in college, undergraduate years",Estimate; Enrolled in school: - Graduate or professional school,Margin of Error; Enrolled in school: - Graduate or professional school,Estimate; Not enrolled in school,Margin of Error; Not enrolled in school
Bluff,11,272.0,99.3227063666,119.0,63.6867333123,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,119.0,63.6867333123,0.0,20.0,153.0,75.8748970346
Bon Air,12,55,61,55,61,0,10,14,22,14,21,0,10,14,22,0,10,0,10,0,10,13,21,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Brighton Heights,13,164.0,79.4418025979,68.0,46.7546789103,8.0,28.2134719593,7.0,27.276363394,8.0,27.276363394,0.0,26.4575131106,9.0,29.8161030318,0.0,26.4575131106,0.0,26.4575131106,10.0,28.2134719593,0.0,26.4575131106,2.0,24.8193472919,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,24.0,32.3882694814,0.0,26.4575131106,96.0,54.2125446738
Brookline,14,526.0,208.221036402,340.0,163.804761836,0.0,38.729833462,44.0,60.8687111741,53.0,60.8604962187,48.0,57.7581163128,26.0,44.418464629,19.0,42.4852915725,22.0,44.2379927212,0.0,38.729833462,49.0,88.3176086634,0.0,38.729833462,20.0,42.9534631898,0.0,38.729833462,17.0,42.4264068712,20.0,48.590122453,0.0,38.729833462,22.0,45.44227107,186.0,102.093094771
California-Kirkbride,15,7,11,7,11,0,10,2,5,2,5,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,0,10
Carrick,16,354.0,180.488226762,306.0,170.760065588,27.0,44.5421149025,0.0,36.0555127546,39.0,49.5378643061,47.0,62.6418390535,39.0,51.2347538298,21.0,45.8257569496,0.0,36.0555127546,19.0,45.1774279923,0.0,36.0555127546,58.0,55.045435778,0.0,36.0555127546,28.0,44.8776113448,0.0,36.0555127546,0.0,36.0555127546,22.0,42.1900462194,6.0,36.3455636907,48.0,59.7494769851
Central Business District,17,98.0,65.9090282131,61.0,46.7011777153,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,61.0,46.7011777153,0.0,24.4948974278,37.0,56.6038867923
Central Lawrenceville,18,120.0,64.9153294685,25.0,27.6947648483,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,7.0,24.9198715887,0.0,24.4948974278,0.0,24.4948974278,8.0,24.9198715887,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,10.0,26.9258240357,95.0,57.4804314528
Central Northside,19,76.0,52.3259018078,42.0,47.3075046901,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,4.0,15.779733838,4.0,15.779733838,0.0,17.3205080757,14.0,26.1533936612,14.0,26.1533936612,5.0,16.2480768093,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,1.0,14.2828568571,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,34.0,24.3721152139
Central Oakland,20,311.0,139.563605571,214.0,126.281431731,25.0,14.6969384567,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,169.0,123.268000714,20.0,33.1662479035,97.0,55.4977477021
Chartiers City,21,100,100,71,96,27,40,0,10,13,19,13,19,0,10,13,19,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,7,29,25
Chateau,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Crafton Heights,23,72.0,49.6185449203,41.0,39.0512483796,8.0,21.0713075057,21.0,29.5972971739,0.0,20.0,7.0,20.5182845287,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,5.0,19.519221296,0.0,20.0,31.0,24.6170672502
Crawford-Roberts,24,137.0,119.570063143,39.0,44.7772263545,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,19.0,21.5406592285,0.0,14.1421356237,14.0,22.360679775,6.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,98.0,87.6926450736
Duquesne Heights,25,8.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,8.0,16.4012194669
East Allegheny,26,24.0,24.1660919472,13.0,18.0277563773,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,9.0,16.4012194669,4.0,11.6619037897,0.0,14.1421356237,11.0,19.7230829233
East Carnegie,27,11,24,5,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,5,10,0,10,6,23
East Hills,28,146.0,104.70434566,55.0,75.3989389846,0.0,17.3205080757,22.0,37.7491721763,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,10.0,21.3541565041,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,23.0,40.5462698654,0.0,17.3205080757,91.0,70.6328535456
East Liberty,29,120.0,84.3741666626,9.0,29.9332590942,9.0,29.9332590942,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,111.0,76.01973428
Elliott,30,130.0,146.560567684,98.0,116.858889264,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,14.0,25.3179778023,0.0,17.3205080757,12.0,23.6854385647,20.0,34.9857113691,0.0,17.3205080757,20.0,34.0734500748,19.0,34.0734500748,0.0,17.3205080757,13.0,23.6854385647,0.0,17.3205080757,32.0,39.1535439009
Esplen,31,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Fairywood,32,11,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,16
Fineview,33,17.0,23.0867927612,5.0,12.2065556157,5.0,12.2065556157,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,12.0,24.1660919472
Friendship,34,59.0,41.5932686862,21.0,21.2132034356,0.0,14.1421356237,8.0,16.4012194669,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,1.0,10.1980390272,0.0,14.1421356237,1.0,10.1980390272,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,11.0,18.8679622641,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,38.0,29.206163733
Garfield,35,218.0,93.5040106092,129.0,70.1783442381,0.0,22.360679775,6.0,21.9317121995,0.0,22.360679775,0.0,22.360679775,10.0,25.6124969497,8.0,23.3238075794,18.0,29.0,7.0,22.825424421,0.0,22.360679775,20.0,28.2842712475,2.0,20.6155281281,22.0,29.7321374946,0.0,22.360679775,13.0,26.9072480942,15.0,25.0,8.0,23.3238075794,89.0,42.9651021179
Glen Hazel,36,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Greenfield,37,115.0,88.7524647545,62.0,64.3350604259,24.0,37.2692903072,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,11.0,33.0000000001,0.0,29.9999999999,16.0,38.4187454246,11.0,32.9999999999,53.0,68.0073525437
Hays,38,21,23,12,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,6,9,0,10,0,10,9,15
Hazelwood,39,78.0,66.5206734782,18.0,34.5976877841,0.0,26.4575131106,4.0,26.4575131106,0.0,26.4575131106,10.0,29.2574776766,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,4.0,26.8514431641,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,60.0,54.4518135602
Highland Park,40,145.0,94.3239100122,107.0,84.8469209812,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,25.0,33.9263909075,0.0,28.2842712474,0.0,28.2842712474,0.0,28.2842712474,8.0,29.4788059459,0.0,28.2842712474,29.0,39.2555728528,45.0,72.0347138538,38.0,36.9729630948
Homewood North,41,100.0,74.1687265632,38.0,38.5875627631,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,10.0,21.3775583264,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,7.0,22.825424421,7.0,22.825424421,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,14.0,22.9128784748,0.0,22.360679775,62.0,46.1302503787
Homewood South,42,64.0,63.4428877022,9.0,25.8650343128,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,9.0,25.8650343128,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,55.0,56.6480361531
Homewood West,43,37.0,38.3275357935,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,37.0,38.3275357935
Knoxville,44,157.0,111.175536878,21.0,30.495901364,8.0,25.8650343128,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,13.0,29.3428015023,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,136.0,105.834776893
Larimer,45,28.0,30.3973683071,4.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,4.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,24.0,30.3973683071
Lincoln Place,46,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775
Lincoln-Lemington-Belmar,47,404.0,220.015908516,205.0,145.485394457,53.0,56.4358042381,0.0,24.4948974278,0.0,24.4948974278,30.0,47.5815090134,23.0,38.2230297072,3.0,23.1516738056,2.0,23.1516738056,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,48.0,50.4281667325,46.0,52.2494019104,0.0,24.4948974278,199.0,120.855285363
Lower Lawrenceville,48,195.0,184.69434209,161.0,192.260240299,0.0,14.1421356237,0.0,14.1421356237,30.0,47.0744091838,0.0,14.1421356237,31.0,47.0744091838,0.0,14.1421356237,50.0,55.9016994375,30.0,47.0744091838,20.0,33.5261092285,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,34.0,39.3954312072
Manchester,49,21.0,19.8494332413,5.0,12.2065556157,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,5.0,12.2065556157,0.0,14.1421356237,16.0,18.3847763109
Marshall-Shadeland,50,304.0,168.312209896,42.0,44.045431091,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,8.0,26.2488094968,8.0,26.2488094968,0.0,22.360679775,5.0,21.5406592286,0.0,22.360679775,9.0,24.4131112314,12.0,23.0867927612,0.0,22.360679775,0.0,22.360679775,262.0,168.335973577
Middle Hill,51,91.0,129.402472928,30.0,35.4964786986,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,1.0,14.2828568571,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,19.0,34.0734500748,10.0,19.8997487421,0.0,17.3205080757,61.0,98.0255068846
Morningside,52,59.0,63.1189353521,50.0,62.6498204306,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,11.0,25.7099202644,14.0,27.2213151776,0.0,20.0,0.0,20.0,14.0,27.2213151776,0.0,20.0,11.0,23.5796522451,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,9.0,17.8044938147
Mount Oliver Borough,53,116.0,80.5046582503,50.0,46.0651712251,2.0,21.0713075057,0.0,20.0,7.0,21.6564078277,0.0,20.0,0.0,20.0,4.0,19.5192212959,0.0,20.0,21.0,35.5105618091,0.0,20.0,0.0,20.0,0.0,20.0,7.0,21.6564078277,4.0,19.5192212959,0.0,20.0,5.0,19.0787840283,0.0,20.0,66.0,65.8407168855
Mount Washington,54,200.0,99.8098191561,81.0,59.6741149914,14.0,35.8329457343,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,0.0,29.9999999999,7.0,29.6816441593,2.0,28.7228132327,0.0,29.9999999999,7.0,29.3938769133,8.0,29.6816441593,27.0,34.7131099154,16.0,31.1287648325,0.0,29.9999999999,119.0,67.43144667
Mt. Oliver,55,19,31,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,31
New Homestead,56,59,41,30,24,0,10,3,7,0,10,3,7,0,10,0,10,8,7,0,10,5,7,5,7,0,10,0,10,0,10,0,10,6,9,0,10,29,29
North Oakland,57,224.0,126.222026604,175.0,118.600168634,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,5.0,28.0891438104,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,21.0,66.8505796534,5.0,26.9258240357,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,144.0,73.0068489938,0.0,24.4948974278,49.0,49.6588360717
North Shore,58,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237
Northview Heights,59,22,24,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,22,24
Oakwood,60,37,29,19,20,0,10,0,10,0,10,6,9,0,10,0,10,7,9,0,10,0,10,0,10,0,10,0,10,0,10,6,9,0,10,0,10,18,16
Overbrook,61,61.0,47.9791621436,50.0,45.0111097397,0.0,22.360679775,11.0,17.3493515729,28.0,44.72135955,1.0,20.2237484161,4.0,21.1896201004,0.0,22.360679775,0.0,22.360679775,1.0,20.2237484161,4.0,21.1896201004,0.0,22.360679775,0.0,22.360679775,1.0,20.2237484161,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,11.0,17.2916164658
Perry North,62,120.0,97.9897953871,47.0,44.0227214061,0.0,24.4948974278,0.0,24.4948974278,7.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,7.0,24.9198715887,21.0,39.8622628559,0.0,24.4948974278,4.0,23.4307490277,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,5.0,24.1039415864,3.0,22.7156333831,0.0,24.4948974278,73.0,62.7136348811
Perry South,63,65.0,42.7083130081,22.0,31.3687742827,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,7.0,24.9198715887,0.0,24.4948974278,1.0,22.9128784748,1.0,22.7156333831,1.0,22.9128784748,0.0,24.4948974278,0.0,24.4948974278,12.0,28.7054001889,43.0,37.2155881318
Point Breeze,64,109.0,63.2060123722,59.0,41.7372735094,16.0,28.930952283,5.0,25.4754784057,5.0,26.0959767014,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,16.0,33.6005952328,0.0,26.4575131106,0.0,26.4575131106,3.0,25.4754784057,0.0,26.4575131106,12.0,30.3973683072,2.0,24.8193472919,0.0,26.4575131106,0.0,26.4575131106,50.0,35.7071421427
Point Breeze North,65,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Polish Hill,66,23.0,22.825424421,5.0,13.4536240471,5.0,13.4536240471,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,18.0,15.5563491861
Regent Square,67,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Ridgemont,68,9,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,9,14
Shadyside,69,239.0,108.554133961,78.0,69.5485441977,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,7.0,38.3275357936,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,8.0,38.0,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,0.0,37.4165738677,19.0,37.6031913538,44.0,65.5591336124,161.0,89.9333086236
